business_name,tiktok_like_range_month_m,tiktok_view_range_month_m,tiktok_comment_range_month_m,tiktok_like_range_month_m_1,tiktok_comment_range_month_m_1,tiktok_view_range_month_m_1
Delini Gelato Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Delini Gelato Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Delini Gelato Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Delini Gelato Boston,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umbria Steakhouse & Roofdeck,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umbria Steakhouse & Roofdeck,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Umbria Steakhouse & Roofdeck,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Umbria Steakhouse & Roofdeck,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Umbria Steakhouse & Roofdeck,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Davio's Northern Italian Steakhouse,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Davio's Northern Italian Steakhouse,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Davio's Northern Italian Steakhouse,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(2.0, 197.0]","(1633.0, 408000.0]"
Davio's Northern Italian Steakhouse,"(2.5, 61.25]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Davio's Northern Italian Steakhouse,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
MEX,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
MEX,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
MEX,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
